idpers,idhous17,p17a01,p17a04,p17c01,p17c02,p17c08,occupa17,x17i04,age17,sex17,educat17,isced17,edyear17,civsta17,nbpers17,nbkid17,region17,canton17
93788103,937881,,,,,,,inapplicable,23.0,,,,16.0,,4,0,,
93788104,937881,,,,,,,inapplicable,19.0,,,,9.0,,4,0,,
93799101,937991,,,,,,,inapplicable,49.0,,,,18.0,,4,2,,
93799102,937991,,,,,,,inapplicable,44.0,,,,18.0,,4,2,,
93800102,938001,,2.0,,3.0,3.0,,inapplicable,60.0,,,,10.0,,2,0,,
93802101,938021,,3.0,,7.0,2.0,,inapplicable,30.0,,,,12.0,,4,2,,
93802102,938021,,,,,,,inapplicable,28.0,,,,12.0,,4,2,,
93804102,938041,,,,,,,inapplicable,53.0,,,,12.0,,2,0,,
93805101,938051,,3.0,,8.0,,,inapplicable,52.0,,,,18.0,,1,0,,
93807101,938071,,,,,,,inapplicable,55.0,,,,18.0,,3,0,,
93807102,938071,,,,,,,39600,23.0,,,,10.0,,3,0,,
93807103,938071,,,,,,,"irregular, difficult to answer",20.0,,,,13.0,,3,0,,
93810101,938101,,7.0,,8.0,3.0,,inapplicable,61.0,,,,16.0,,1,0,,
93819101,938191,,,,,,,inapplicable,37.0,,,,12.0,,3,1,,
93819102,938191,,,,,,,inapplicable,34.0,,,,12.0,,3,1,,
93820101,938201,,7.0,,8.0,,,inapplicable,63.0,,,,18.0,,5,0,,
93820102,938201,,2.0,,8.0,,,inapplicable,54.0,,,,10.0,,5,0,,
93820103,938201,,7.0,,9.0,,,inapplicable,27.0,,,,18.0,,5,0,,
93820104,938201,,3.0,,7.0,1.0,,inapplicable,25.0,,,,18.0,,5,0,,
93820105,938201,,3.0,,8.0,5.0,,inapplicable,20.0,,,,9.0,,5,0,,
93821101,938211,,,,7.0,,,inapplicable,41.0,,,,13.0,,5,3,,
93821102,938211,,,,,,,inapplicable,39.0,,,,18.0,,5,3,,
93823101,938231,,,,,,,inapplicable,59.0,,,,13.0,,2,0,,
93823102,938231,,,,,,,inapplicable,57.0,,,,9.0,,2,0,,
93828101,938281,,,,,,,inapplicable,44.0,,,,,,3,0,,
93828102,938281,,7.0,,9.0,,,inapplicable,36.0,,,,12.0,,3,0,,
93828103,938281,,7.0,,8.0,1.0,,inapplicable,34.0,,,,14.0,,3,0,,
93829102,938291,,,,5.0,6.0,,inapplicable,57.0,,,,12.0,,2,0,,
93830101,938301,,5.0,,,,,inapplicable,56.0,,,,18.0,,5,0,,
93830102,938301,,3.0,,7.0,3.0,,inapplicable,54.0,,,,12.0,,5,0,,
93830103,938301,,2.0,,,,,inapplicable,24.0,,,,18.0,,5,0,,
93830104,938301,,3.0,,7.0,,,inapplicable,23.0,,,,12.0,,5,0,,
93830105,938301,,,,9.0,,,inapplicable,21.0,,,,13.0,,5,0,,
93831101,938311,,1.0,,8.0,5.0,,inapplicable,59.0,,,,16.0,,2,0,,
93831102,938311,,,,,7.0,,inapplicable,55.0,,,,13.0,,2,0,,
93838101,938381,,,,8.0,4.0,,inapplicable,44.0,,,,18.0,,2,0,,
93838102,938381,,,,,,,no personal income,36.0,,,,18.0,,2,0,,
93840101,938401,,,,,,,inapplicable,38.0,,,,18.0,,5,0,,
93840102,938401,,,,,,,inapplicable,34.0,,,,18.0,,5,0,,
93840103,938401,,,,,,,does not know,34.0,,,,18.0,,5,0,,
93840104,938401,,,,,,,inapplicable,29.0,,,,18.0,,5,0,,
93853102,938531,,,,7.0,6.0,,inapplicable,47.0,,,,12.0,,4,0,,
93853103,938531,,,,8.0,1.0,,inapplicable,24.0,,,,18.0,,4,0,,
93853104,938531,,,,9.0,4.0,,inapplicable,20.0,,,,12.0,,4,0,,
93854101,938541,,,,8.0,7.0,,inapplicable,35.0,,,,12.0,,4,2,,
93854102,938541,,,,5.0,5.0,,inapplicable,33.0,,,,10.0,,4,2,,
93862101,938621,,,,7.0,8.0,,inapplicable,41.0,,,,12.0,,1,0,,
93869101,938691,,3.0,,9.0,1.0,,inapplicable,48.0,,,,18.0,,4,0,,
93869102,938691,,3.0,,9.0,2.0,,inapplicable,45.0,,,,16.0,,4,0,,
93869103,938691,,4.0,,,3.0,,inapplicable,21.0,,,,14.0,,4,0,,
93869104,938691,,2.0,,5.0,7.0,,inapplicable,19.0,,,,13.0,,4,0,,
93871101,938711,,3.0,,5.0,7.0,,inapplicable,58.0,,,,18.0,,1,0,,
93881101,938811,,5.0,,8.0,2.0,,inapplicable,38.0,,,,12.0,,2,0,,
93881102,938811,,3.0,,,,,inapplicable,34.0,,,,18.0,,2,0,,
93885101,938851,,3.0,,,,,inapplicable,30.0,,,,12.0,,1,0,,
93886101,938861,,6.0,,6.0,1.0,,inapplicable,34.0,,,,16.0,,2,1,,
93887101,938871,,3.0,,3.0,7.0,,inapplicable,31.0,,,,12.0,,1,0,,
93888101,938881,,,,,,,"irregular, difficult to answer",62.0,,,,12.0,,2,0,,
93888102,938881,,,,,,,inapplicable,55.0,,,,18.0,,2,0,,
93892101,938921,,,,4.0,,,inapplicable,52.0,,,,9.0,,4,1,,
93892102,938921,,,,,6.0,,inapplicable,46.0,,,,8.0,,4,1,,
93892103,938921,,,,5.0,5.0,,inapplicable,21.0,,,,9.0,,4,1,,
93893102,938931,,,,,,,inapplicable,21.0,,,,9.0,,2,0,,
93900101,939001,,2.0,,9.0,,,inapplicable,54.0,,,,18.0,,2,0,,
93900102,939001,,2.0,,8.0,,,inapplicable,51.0,,,,18.0,,2,0,,
93902102,939021,,,,,,,inapplicable,28.0,,,,13.0,,2,0,,
93906101,939061,,,,5.0,8.0,,inapplicable,54.0,,,,12.0,,2,0,,
93906102,939061,,2.0,,8.0,7.0,,inapplicable,52.0,,,,8.0,,2,0,,
93908101,939081,,,,8.0,2.0,,inapplicable,49.0,,,,16.0,,4,2,,
93908102,939081,,2.0,,5.0,,,inapplicable,49.0,,,,12.0,,4,2,,
93915101,939151,,,,,,,inapplicable,54.0,,,,12.0,,5,1,,
93915102,939151,,,,7.0,7.0,,inapplicable,52.0,,,,9.0,,5,1,,
93915103,939151,,,,2.0,2.0,,inapplicable,22.0,,,,9.0,,5,1,,
93915104,939151,,,,6.0,6.0,,inapplicable,21.0,,,,9.0,,5,1,,
93926102,939261,,,,,,,inapplicable,64.0,,,,12.0,,2,0,,
93928101,939281,,7.0,,,,,inapplicable,51.0,,,,13.0,,4,0,,
93928102,939281,,,,,,,inapplicable,51.0,,,,9.0,,4,0,,
93928103,939281,,5.0,,4.0,3.0,,inapplicable,27.0,,,,13.0,,4,0,,
93928104,939281,,3.0,,5.0,7.0,,inapplicable,25.0,,,,12.0,,4,0,,
93929101,939291,,4.0,,8.0,1.0,,inapplicable,36.0,,,,18.0,,2,0,,
93929102,939291,,5.0,,9.0,,,inapplicable,31.0,,,,18.0,,2,0,,
93936102,939361,,,,,,,inapplicable,61.0,,,,12.0,,2,0,,
93938101,939381,,,,,,,inapplicable,44.0,,,,18.0,,4,2,,
93938102,939381,,,,,,,inapplicable,44.0,,,,12.0,,4,2,,
93940101,939401,,3.0,,9.0,,,inapplicable,59.0,,,,16.0,,2,0,,
93940102,939401,,7.0,,9.0,,,inapplicable,55.0,,,,16.0,,2,0,,
93942101,939421,,2.0,,8.0,,,inapplicable,26.0,,,,18.0,,2,0,,
93942102,939421,,3.0,,7.0,1.0,,inapplicable,26.0,,,,18.0,,2,0,,
93950101,939501,,,,8.0,,,inapplicable,48.0,,,,12.0,,4,2,,
93950102,939501,,,,,,,inapplicable,42.0,,,,12.0,,4,2,,
93952101,939521,,3.0,,7.0,6.0,,inapplicable,62.0,,,,10.0,,2,0,,
93952102,939521,,3.0,,5.0,5.0,,inapplicable,60.0,,,,9.0,,2,0,,
93953101,939531,,,,8.0,,,inapplicable,30.0,,,,16.0,,2,0,,
93953102,939531,,,,,,,inapplicable,26.0,,,,16.0,,2,0,,
93955101,939551,,,,,,,inapplicable,48.0,,,,12.0,,5,1,,
93955102,939551,,,,,,,inapplicable,47.0,,,,13.0,,5,1,,
93955103,939551,,,,,,,inapplicable,45.0,,,,13.0,,5,1,,
93955104,939551,,,,,,,inapplicable,20.0,,,,10.0,,5,1,,
93957101,939571,,,,9.0,7.0,,inapplicable,29.0,,,,18.0,,2,0,,
93957102,939571,,,,9.0,3.0,,inapplicable,28.0,,,,12.0,,2,0,,
93966101,939661,,3.0,,9.0,1.0,,inapplicable,31.0,,,,18.0,,2,0,,
93966102,939661,,6.0,,8.0,1.0,,inapplicable,31.0,,,,18.0,,2,0,,
93977101,939771,,2.0,,,,,inapplicable,35.0,,,,18.0,,3,1,,
93977102,939771,,4.0,,9.0,,,inapplicable,31.0,,,,12.0,,3,1,,
93984101,939841,,,,,,,inapplicable,55.0,,,,18.0,,1,0,,
93985101,939851,,,,,,,inapplicable,51.0,,,,,,2,0,,
93985102,939851,,,,7.0,5.0,,inapplicable,50.0,,,,12.0,,2,0,,
93989101,939891,,,,,,,inapplicable,52.0,,,,10.0,,7,1,,
93989102,939891,,2.0,,7.0,3.0,,inapplicable,52.0,,,,12.0,,7,1,,
93989104,939891,,,,,,,inapplicable,35.0,,,,,,7,1,,
93989105,939891,,7.0,,,,,inapplicable,25.0,,,,12.0,,7,1,,
93989106,939891,,3.0,,7.0,1.0,,inapplicable,24.0,,,,16.0,,7,1,,
93989107,939891,,2.0,,7.0,,,inapplicable,22.0,,,,12.0,,7,1,,
93990101,939901,,1.0,,,,,inapplicable,41.0,,,,12.0,,3,1,,
93990102,939901,,4.0,,8.0,2.0,,inapplicable,18.0,,,,9.0,,3,1,,
93994101,939941,,1.0,,6.0,2.0,,inapplicable,59.0,,,,18.0,,4,0,,
93994102,939941,,3.0,,6.0,1.0,,inapplicable,57.0,,,,12.0,,4,0,,
93994103,939941,,,,,,,inapplicable,26.0,,,,18.0,,4,0,,
93994104,939941,,2.0,,8.0,2.0,,inapplicable,24.0,,,,10.0,,4,0,,
93996101,939961,,,,,,,inapplicable,55.0,,,,13.0,,5,0,,
93996102,939961,,,,,,,14400,53.0,,,,9.0,,5,0,,
93996103,939961,,,,,,,inapplicable,25.0,,,,12.0,,5,0,,
93996104,939961,,,,,,,inapplicable,22.0,,,,12.0,,5,0,,
93996105,939961,,,,,,,no personal income,21.0,,,,14.0,,5,0,,
93997101,939971,,,,,,,inapplicable,41.0,,,,12.0,,2,0,,
93997102,939971,,7.0,,,2.0,,inapplicable,35.0,,,,12.0,,2,0,,
94000101,940001,,,,8.0,6.0,,inapplicable,34.0,,,,18.0,,2,0,,
94000102,940001,,3.0,,5.0,6.0,,inapplicable,31.0,,,,18.0,,2,0,,
94003101,940031,,1.0,,7.0,7.0,,inapplicable,39.0,,,,18.0,,2,0,,
94003102,940031,,3.0,,4.0,8.0,,inapplicable,36.0,,,,16.0,,2,0,,
94005101,940051,,,,,,,inapplicable,41.0,,,,10.0,,6,4,,
94005102,940051,,,,9.0,,,inapplicable,34.0,,,,9.0,,6,4,,
94009101,940091,,,,2.0,9.0,,inapplicable,52.0,,,,12.0,,2,0,,
94009102,940091,,,,6.0,7.0,,inapplicable,52.0,,,,10.0,,2,0,,
94015101,940151,,,,,,,inapplicable,38.0,,,,18.0,,3,1,,
94015102,940151,,,,,,,inapplicable,36.0,,,,18.0,,3,1,,
94017101,940171,,3.0,,8.0,,,inapplicable,36.0,,,,18.0,,4,2,,
94017102,940171,,2.0,,9.0,,,inapplicable,32.0,,,,14.0,,4,2,,
94024101,940241,,3.0,,8.0,4.0,,inapplicable,49.0,,,,10.0,,4,1,,
94024102,940241,,,,7.0,5.0,,inapplicable,45.0,,,,18.0,,4,1,,
94024103,940241,,,,6.0,5.0,,inapplicable,18.0,,,,9.0,,4,1,,
94026101,940261,,2.0,,,,,inapplicable,35.0,,,,16.0,,4,2,,
94026102,940261,,2.0,,7.0,7.0,,inapplicable,32.0,,,,18.0,,4,2,,
94027101,940271,,7.0,,8.0,7.0,,inapplicable,47.0,,,,16.0,,4,2,,
94027102,940271,,4.0,,8.0,1.0,,inapplicable,40.0,,,,18.0,,4,2,,
94028101,940281,,,,,,,inapplicable,61.0,,,,9.0,,3,0,,
94028102,940281,,,,,,,"irregular, difficult to answer",40.0,,,,8.0,,3,0,,
94028103,940281,,,,,,,inapplicable,20.0,,,,9.0,,3,0,,
94032101,940321,,1.0,,9.0,,,inapplicable,53.0,,,,16.0,,2,0,,
94032102,940321,,2.0,,8.0,,,inapplicable,51.0,,,,12.0,,2,0,,
94040101,940401,,4.0,,8.0,4.0,,inapplicable,58.0,,,,18.0,,1,0,,
94042101,940421,,2.0,,,,,inapplicable,49.0,,,,18.0,,5,3,,
94042102,940421,,,,,,,inapplicable,47.0,,,,,,5,3,,
94043101,940431,,,,,,,inapplicable,30.0,,,,13.0,,2,0,,
94043102,940431,,3.0,,9.0,,,inapplicable,24.0,,,,10.0,,2,0,,
94049101,940491,,5.0,,8.0,,,inapplicable,39.0,,,,18.0,,4,2,,
