idpers,idhous17,p17a01,p17a04,p17c01,p17c02,p17c08,occupa17,x17i04,age17,sex17,educat17,isced17,edyear17,civsta17,nbpers17,nbkid17,region17,canton17
90003101,900031,,,,8.0,,,inapplicable,30.0,,,,9.0,,2,0,,
90003102,900031,,,,8.0,,,inapplicable,30.0,,,,18.0,,2,0,,
90010101,900101,,,,,,,inapplicable,56.0,,,,10.0,,4,2,,
90010102,900101,,,,,,,inapplicable,40.0,,,,14.0,,4,2,,
90014101,900141,,,,,,,inapplicable,33.0,,,,12.0,,2,0,,
90014102,900141,,,,,,,no personal income,26.0,,,,9.0,,2,0,,
90017101,900171,,7.0,,8.0,3.0,,inapplicable,50.0,,,,18.0,,4,2,,
90017102,900171,,4.0,,9.0,2.0,,inapplicable,44.0,,,,18.0,,4,2,,
90018101,900181,,,,,,,inapplicable,52.0,,,,16.0,,4,1,,
90018102,900181,,,,,,,inapplicable,51.0,,,,12.0,,4,1,,
90018103,900181,,,,,,,inapplicable,20.0,,,,13.0,,4,1,,
90019101,900191,,,,,,,inapplicable,53.0,,,,12.0,,2,1,,
90020101,900201,,,,8.0,,,inapplicable,55.0,,,,9.0,,4,2,,
90020102,900201,,,,9.0,,,inapplicable,46.0,,,,9.0,,4,2,,
90028101,900281,,2.0,,9.0,9.0,,inapplicable,55.0,,,,10.0,,5,0,,
90028102,900281,,3.0,,6.0,6.0,,inapplicable,52.0,,,,16.0,,5,0,,
90028103,900281,,,,4.0,8.0,,inapplicable,27.0,,,,12.0,,5,0,,
90028104,900281,,,,,,,inapplicable,26.0,,,,12.0,,5,0,,
90028105,900281,,5.0,,7.0,3.0,,inapplicable,20.0,,,,12.0,,5,0,,
90033101,900331,,,,,,,inapplicable,56.0,,,,18.0,,1,0,,
90039101,900391,,2.0,,8.0,1.0,,inapplicable,59.0,,,,18.0,,3,0,,
90039102,900391,,5.0,,9.0,,,inapplicable,59.0,,,,18.0,,3,0,,
90039103,900391,,1.0,,8.0,,,inapplicable,27.0,,,,18.0,,3,0,,
90041101,900411,,,,,,,inapplicable,58.0,,,,9.0,,4,0,,
90041102,900411,,2.0,,7.0,7.0,,inapplicable,54.0,,,,9.0,,4,0,,
90041103,900411,,,,,,,inapplicable,27.0,,,,18.0,,4,0,,
90041104,900411,,5.0,,8.0,2.0,,inapplicable,19.0,,,,9.0,,4,0,,
90045101,900451,,6.0,,8.0,2.0,,inapplicable,61.0,,,,16.0,,4,0,,
90045102,900451,,,,8.0,,,inapplicable,28.0,,,,12.0,,4,0,,
90045103,900451,,6.0,,8.0,2.0,,inapplicable,20.0,,,,10.0,,4,0,,
90045104,900451,,6.0,,7.0,4.0,,inapplicable,20.0,,,,12.0,,4,0,,
90047101,900471,,2.0,,8.0,,,inapplicable,52.0,,,,18.0,,4,3,,
90049101,900491,,,,,,,inapplicable,56.0,,,,18.0,,3,0,,
90049102,900491,,,,,,,14400,47.0,,,,9.0,,3,0,,
90049103,900491,,2.0,,8.0,2.0,,inapplicable,19.0,,,,13.0,,3,0,,
90051101,900511,,,,,,,inapplicable,59.0,,,,12.0,,2,0,,
90051102,900511,,,,,,,inapplicable,52.0,,,,12.0,,2,0,,
90057101,900571,,,,9.0,,,inapplicable,46.0,,,,9.0,,4,2,,
90057102,900571,,,,9.0,,,inapplicable,45.0,,,,12.0,,4,2,,
90058101,900581,,2.0,,9.0,,,inapplicable,39.0,,,,18.0,,3,1,,
90058102,900581,,2.0,,,,,inapplicable,30.0,,,,16.0,,3,1,,
90060101,900601,,2.0,,,,,inapplicable,29.0,,,,16.0,,2,0,,
90060102,900601,,,,,,,inapplicable,27.0,,,,12.0,,2,0,,
90062101,900621,,4.0,,9.0,,,inapplicable,61.0,,,,12.0,,2,0,,
90062102,900621,,,,,,,inapplicable,51.0,,,,18.0,,2,0,,
90069101,900691,,3.0,,,,,inapplicable,47.0,,,,9.0,,1,0,,
90071101,900711,,,,,,,inapplicable,41.0,,,,16.0,,5,3,,
90071102,900711,,,,,,,inapplicable,38.0,,,,16.0,,5,3,,
90078101,900781,,3.0,,8.0,,,inapplicable,59.0,,,,16.0,,3,0,,
90078102,900781,,3.0,,7.0,,,inapplicable,57.0,,,,16.0,,3,0,,
90078103,900781,,3.0,,9.0,1.0,,inapplicable,29.0,,,,18.0,,3,0,,
90081101,900811,,3.0,,8.0,2.0,,inapplicable,59.0,,,,12.0,,1,0,,
90082101,900821,,7.0,,7.0,1.0,,inapplicable,60.0,,,,12.0,,1,0,,
90090101,900901,,,,,,,inapplicable,48.0,,,,16.0,,2,0,,
90090102,900901,,,,,,,inapplicable,35.0,,,,12.0,,2,0,,
90092101,900921,,,,,,,inapplicable,37.0,,,,,,2,0,,
90092102,900921,,2.0,,6.0,5.0,,inapplicable,33.0,,,,16.0,,2,0,,
90104101,901041,,5.0,,8.0,,,inapplicable,54.0,,,,10.0,,3,0,,
90104102,901041,,,,,,,inapplicable,54.0,,,,12.0,,3,0,,
90104103,901041,,,,,,,inapplicable,19.0,,,,12.0,,3,0,,
90105101,901051,,6.0,,,,,inapplicable,29.0,,,,12.0,,3,1,,
90105102,901051,,2.0,,8.0,1.0,,inapplicable,29.0,,,,9.0,,3,1,,
90115101,901151,,5.0,,,1.0,,inapplicable,38.0,,,,12.0,,4,3,,
90122102,901221,,,,,,,inapplicable,52.0,,,,,,2,0,,
90126101,901261,,2.0,,8.0,1.0,,inapplicable,42.0,,,,12.0,,1,0,,
90127101,901271,,7.0,,,5.0,,inapplicable,60.0,,,,12.0,,3,0,,
90127102,901271,,7.0,,5.0,5.0,,inapplicable,55.0,,,,10.0,,3,0,,
90127103,901271,,4.0,,5.0,8.0,,inapplicable,29.0,,,,10.0,,3,0,,
90131101,901311,,,,8.0,2.0,,inapplicable,39.0,,,,12.0,,4,2,,
90131102,901311,,,,8.0,1.0,,inapplicable,37.0,,,,12.0,,4,2,,
90141101,901411,,,,7.0,3.0,,inapplicable,56.0,,,,12.0,,2,0,,
90141102,901411,,2.0,,8.0,1.0,,inapplicable,55.0,,,,13.0,,2,0,,
90151101,901511,,,,7.0,1.0,,inapplicable,55.0,,,,16.0,,3,0,,
90151102,901511,,,,,,,inapplicable,53.0,,,,9.0,,3,0,,
90151103,901511,,,,,,,inapplicable,28.0,,,,10.0,,3,0,,
90156101,901561,,3.0,,9.0,2.0,,inapplicable,59.0,,,,12.0,,7,1,,
90156102,901561,,1.0,,,3.0,,inapplicable,56.0,,,,12.0,,7,1,,
90156103,901561,,,,7.0,,,inapplicable,23.0,,,,13.0,,7,1,,
90156104,901561,,,,,,,2340,22.0,,,,12.0,,7,1,,
90156105,901561,,4.0,,9.0,,,inapplicable,20.0,,,,10.0,,7,1,,
90156106,901561,,3.0,,9.0,,,inapplicable,18.0,,,,14.0,,7,1,,
90158101,901581,,,,8.0,2.0,,inapplicable,59.0,,,,18.0,,3,0,,
90158102,901581,,2.0,,9.0,,,inapplicable,56.0,,,,18.0,,3,0,,
90158103,901581,,,,,,,inapplicable,18.0,,,,9.0,,3,0,,
90163101,901631,,,,,,,inapplicable,55.0,,,,14.0,,3,0,,
90163103,901631,,,,,,,inapplicable,21.0,,,,13.0,,3,0,,
90163104,901631,,,,,,,inapplicable,18.0,,,,12.0,,3,0,,
90164101,901641,,3.0,,7.0,6.0,,inapplicable,55.0,,,,18.0,,4,1,,
90164102,901641,,7.0,,9.0,,,inapplicable,51.0,,,,18.0,,4,1,,
90164104,901641,,3.0,,8.0,1.0,,inapplicable,19.0,,,,13.0,,4,1,,
90167101,901671,,,,,,,inapplicable,53.0,,,,12.0,,2,0,,
90167102,901671,,7.0,,7.0,5.0,,inapplicable,40.0,,,,12.0,,2,0,,
90168101,901681,,4.0,,8.0,,,inapplicable,21.0,,,,14.0,,1,0,,
90172101,901721,,2.0,,8.0,1.0,,inapplicable,56.0,,,,12.0,,2,0,,
90172102,901721,,,,,,,inapplicable,55.0,,,,9.0,,2,0,,
90177101,901771,,7.0,,8.0,1.0,,inapplicable,60.0,,,,16.0,,2,0,,
90177102,901771,,7.0,,8.0,2.0,,inapplicable,57.0,,,,10.0,,2,0,,
90179101,901791,,4.0,,9.0,2.0,,inapplicable,27.0,,,,16.0,,2,0,,
90179102,901791,,7.0,,,,,inapplicable,20.0,,,,14.0,,2,0,,
90185101,901851,,,,,,,inapplicable,35.0,,,,12.0,,2,0,,
90185102,901851,,,,,,,no answer,28.0,,,,12.0,,2,0,,
90191101,901911,,1.0,,8.0,,,inapplicable,48.0,,,,13.0,,4,2,,
90191102,901911,,,,8.0,1.0,,inapplicable,43.0,,,,13.0,,4,2,,
90201101,902011,,3.0,,7.0,7.0,,inapplicable,30.0,,,,10.0,,2,0,,
90201102,902011,,,,,,,inapplicable,26.0,,,,12.0,,2,0,,
90203101,902031,,2.0,,9.0,4.0,,inapplicable,44.0,,,,18.0,,5,3,,
90203102,902031,,,,9.0,,,inapplicable,44.0,,,,13.0,,5,3,,
90204101,902041,,4.0,,,8.0,,inapplicable,48.0,,,,12.0,,3,1,,
90204102,902041,,,,,,,9000,34.0,,,,9.0,,3,1,,
90207101,902071,,,,,,,inapplicable,56.0,,,,12.0,,2,0,,
90207102,902071,,,,,,,inapplicable,55.0,,,,13.0,,2,0,,
90211102,902111,,,,,,,inapplicable,33.0,,,,16.0,,3,1,,
90211105,902111,,,,,,,inapplicable,31.0,,,,12.0,,3,1,,
90212101,902121,,3.0,,9.0,,,inapplicable,49.0,,,,12.0,,4,2,,
90212102,902121,,2.0,,8.0,,,inapplicable,45.0,,,,16.0,,4,2,,
90221101,902211,,,,,,,inapplicable,39.0,,,,18.0,,4,2,,
90221102,902211,,,,,,,inapplicable,38.0,,,,18.0,,4,2,,
90231101,902311,,5.0,,4.0,3.0,,inapplicable,61.0,,,,12.0,,2,0,,
90231102,902311,,6.0,,7.0,2.0,,inapplicable,57.0,,,,10.0,,2,0,,
90235101,902351,,1.0,,8.0,6.0,,inapplicable,36.0,,,,16.0,,3,1,,
90235102,902351,,1.0,,9.0,2.0,,inapplicable,30.0,,,,16.0,,3,1,,
90236101,902361,,3.0,,,,,inapplicable,46.0,,,,12.0,,3,1,,
90236102,902361,,,,,,,inapplicable,45.0,,,,12.0,,3,1,,
90237102,902371,,2.0,,,,,inapplicable,60.0,,,,18.0,,3,0,,
90237103,902371,,,,,,,inapplicable,22.0,,,,12.0,,3,0,,
90238101,902381,,,,8.0,,,inapplicable,36.0,,,,18.0,,3,0,,
90238103,902381,,3.0,,,1.0,,inapplicable,63.0,,,,16.0,,3,0,,
90243101,902431,,3.0,,9.0,,,inapplicable,56.0,,,,12.0,,3,1,,
90243102,902431,,,,5.0,1.0,,inapplicable,37.0,,,,9.0,,3,1,,
90248103,902481,,,,,,,does not know,33.0,,,,16.0,,4,0,,
90248104,902481,,,,,,,"irregular, difficult to answer",28.0,,,,18.0,,4,0,,
90256101,902561,,3.0,,8.0,,,inapplicable,33.0,,,,12.0,,3,1,,
90256102,902561,,,,,,,inapplicable,33.0,,,,18.0,,3,1,,
90257101,902571,,4.0,,9.0,,,inapplicable,25.0,,,,18.0,,2,0,,
90257102,902571,,,,,,,inapplicable,22.0,,,,12.0,,2,0,,
90260101,902601,,6.0,,8.0,,,inapplicable,26.0,,,,16.0,,1,0,,
90266101,902661,,2.0,,9.0,,,inapplicable,42.0,,,,18.0,,2,0,,
90266102,902661,,5.0,,7.0,,,inapplicable,31.0,,,,18.0,,2,0,,
90270101,902701,,,,,,,inapplicable,54.0,,,,12.0,,3,1,,
90270102,902701,,,,,,,inapplicable,52.0,,,,18.0,,3,1,,
90276101,902761,,,,,,,inapplicable,63.0,,,,12.0,,2,0,,
90276102,902761,,,,,,,inapplicable,57.0,,,,12.0,,2,0,,
90278101,902781,,4.0,,,,,inapplicable,38.0,,,,14.0,,4,2,,
90278102,902781,,,,9.0,2.0,,inapplicable,27.0,,,,12.0,,4,2,,
90280101,902801,,3.0,,9.0,2.0,,inapplicable,41.0,,,,18.0,,4,2,,
90280102,902801,,2.0,,8.0,2.0,,inapplicable,41.0,,,,18.0,,4,2,,
90284101,902841,,,,5.0,,,inapplicable,45.0,,,,12.0,,6,3,,
90284102,902841,,,,,1.0,,inapplicable,33.0,,,,9.0,,6,3,,
90284104,902841,,,,,,,inapplicable,18.0,,,,9.0,,6,3,,
90291101,902911,,,,8.0,5.0,,inapplicable,45.0,,,,13.0,,1,0,,
90297101,902971,,,,5.0,2.0,,inapplicable,48.0,,,,12.0,,4,2,,
90297102,902971,,,,7.0,3.0,,inapplicable,45.0,,,,10.0,,4,2,,
90298101,902981,,7.0,,7.0,3.0,,inapplicable,50.0,,,,18.0,,5,2,,
90298102,902981,,5.0,,6.0,3.0,,inapplicable,49.0,,,,18.0,,5,2,,
90298103,902981,,3.0,,7.0,2.0,,inapplicable,19.0,,,,13.0,,5,2,,
90299101,902991,,7.0,,8.0,,,inapplicable,60.0,,,,16.0,,3,0,,
90299102,902991,,7.0,,8.0,2.0,,inapplicable,59.0,,,,16.0,,3,0,,
90299103,902991,,,,,,,no personal income,27.0,,,,18.0,,3,0,,
90309101,903091,,7.0,,,,,inapplicable,56.0,,,,18.0,,1,0,,
90311102,903111,,5.0,,7.0,3.0,,inapplicable,61.0,,,,9.0,,2,0,,
90313101,903131,,,,,,,inapplicable,31.0,,,,18.0,,3,1,,
90313102,903131,,,,,,,inapplicable,31.0,,,,18.0,,3,1,,
90314101,903141,,,,,,,inapplicable,36.0,,,,13.0,,5,3,,
90314102,903141,,,,,,,inapplicable,34.0,,,,13.0,,5,3,,
90325102,903251,,,,,,,inapplicable,38.0,,,,12.0,,3,0,,
90325103,903251,,,,,,,inapplicable,19.0,,,,9.0,,3,0,,
90327101,903271,,2.0,,7.0,5.0,,inapplicable,45.0,,,,14.0,,3,2,,
90328101,903281,,,,,,,inapplicable,31.0,,,,16.0,,3,1,,
90328102,903281,,,,,,,inapplicable,31.0,,,,,,3,1,,
90332101,903321,,,,,,,inapplicable,59.0,,,,10.0,,2,0,,
90332102,903321,,,,,,,inapplicable,56.0,,,,12.0,,2,0,,
90333101,903331,,3.0,,,,,inapplicable,49.0,,,,16.0,,6,2,,
90333102,903331,,2.0,,,,,inapplicable,49.0,,,,12.0,,6,2,,
90333103,903331,,3.0,,,,,inapplicable,21.0,,,,13.0,,6,2,,
90333104,903331,,,,,,,inapplicable,19.0,,,,13.0,,6,2,,
90335101,903351,,,,,,,inapplicable,45.0,,,,13.0,,4,1,,
90335102,903351,,,,8.0,,,inapplicable,42.0,,,,9.0,,4,1,,
90335103,903351,,3.0,,8.0,,,inapplicable,24.0,,,,18.0,,4,1,,
90337101,903371,,,,,,,inapplicable,59.0,,,,12.0,,3,0,,
90337102,903371,,3.0,,7.0,4.0,,inapplicable,57.0,,,,12.0,,3,0,,
90337103,903371,,,,,,,inapplicable,24.0,,,,14.0,,3,0,,
90340102,903401,,,,,,,inapplicable,59.0,,,,9.0,,4,0,,
90340103,903401,,,,,,,inapplicable,24.0,,,,10.0,,4,0,,
90340104,903401,,,,,,,inapplicable,24.0,,,,12.0,,4,0,,
90341101,903411,,,,5.0,4.0,,inapplicable,49.0,,,,12.0,,4,1,,
90341102,903411,,2.0,,8.0,4.0,,inapplicable,48.0,,,,16.0,,4,1,,
90341103,903411,,,,,,,inapplicable,20.0,,,,9.0,,4,1,,
90342102,903421,,,,2.0,1.0,,inapplicable,59.0,,,,9.0,,2,0,,
90345101,903451,,,,7.0,2.0,,inapplicable,63.0,,,,9.0,,3,0,,
90345102,903451,,,,9.0,,,inapplicable,51.0,,,,10.0,,3,0,,
90345104,903451,,4.0,,9.0,,,inapplicable,20.0,,,,12.0,,3,0,,
90348101,903481,,3.0,,,,,inapplicable,37.0,,,,18.0,,3,1,,
90348102,903481,,,,,,,inapplicable,34.0,,,,18.0,,3,1,,
90349101,903491,,,,2.0,6.0,,inapplicable,41.0,,,,12.0,,3,2,,
90355101,903551,,,,,,,inapplicable,32.0,,,,12.0,,2,0,,
90355102,903551,,,,,,,inapplicable,23.0,,,,12.0,,2,0,,
90356101,903561,,,,,,,inapplicable,43.0,,,,18.0,,4,2,,
90356102,903561,,1.0,,7.0,6.0,,inapplicable,39.0,,,,18.0,,4,2,,
90359101,903591,,6.0,,3.0,9.0,,inapplicable,61.0,,,,12.0,,2,0,,
90359102,903591,,6.0,,9.0,1.0,,inapplicable,57.0,,,,16.0,,2,0,,
90364101,903641,,,,,,,inapplicable,50.0,,,,13.0,,1,0,,
90365101,903651,,,,,,,inapplicable,46.0,,,,12.0,,4,2,,
90365102,903651,,1.0,,8.0,5.0,,inapplicable,36.0,,,,12.0,,4,2,,
90367102,903671,,,,,,,inapplicable,43.0,,,,12.0,,2,0,,
90372101,903721,,,,5.0,,,inapplicable,58.0,,,,9.0,,2,0,,
90372102,903721,,,,,,,inapplicable,43.0,,,,9.0,,2,0,,
90377101,903771,,7.0,,5.0,6.0,,inapplicable,50.0,,,,18.0,,4,2,,
90377103,903771,,5.0,,6.0,,,inapplicable,19.0,,,,13.0,,4,2,,
90378101,903781,,6.0,,,,,inapplicable,47.0,,,,14.0,,4,1,,
90378102,903781,,1.0,,,,,inapplicable,47.0,,,,16.0,,4,1,,
90378103,903781,,2.0,,8.0,4.0,,inapplicable,20.0,,,,10.0,,4,1,,
90385101,903851,,5.0,,8.0,2.0,,inapplicable,32.0,,,,9.0,,4,2,,
90385102,903851,,,,5.0,5.0,,inapplicable,32.0,,,,9.0,,4,2,,
90392101,903921,,2.0,,9.0,,,inapplicable,32.0,,,,14.0,,2,0,,
90392102,903921,,,,,,,54000,32.0,,,,,,2,0,,
90393101,903931,,,,,,,inapplicable,39.0,,,,12.0,,1,0,,
90400102,904001,,,,8.0,9.0,,inapplicable,24.0,,,,10.0,,1,0,,
90402102,904021,,2.0,,6.0,2.0,,inapplicable,26.0,,,,12.0,,1,0,,
90403101,904031,,,,,,,inapplicable,50.0,,,,18.0,,2,0,,
90403102,904031,,,,,,,inapplicable,50.0,,,,18.0,,2,0,,
90416101,904161,,,,,,,inapplicable,32.0,,,,16.0,,3,0,,
90416102,904161,,,,,,,inapplicable,28.0,,,,12.0,,3,0,,
90416103,904161,,,,,,,inapplicable,51.0,,,,,,3,0,,
90418101,904181,,,,,,,inapplicable,34.0,,,,12.0,,4,2,,
90418102,904181,,,,,,,inapplicable,32.0,,,,12.0,,4,2,,
90419101,904191,,2.0,,8.0,4.0,,inapplicable,38.0,,,,12.0,,2,0,,
90419102,904191,,7.0,,,,,inapplicable,37.0,,,,12.0,,2,0,,
90421102,904211,,,,,,,inapplicable,58.0,,,,10.0,,4,0,,
90421103,904211,,,,,,,inapplicable,25.0,,,,9.0,,4,0,,
90421104,904211,,,,,,,inapplicable,19.0,,,,9.0,,4,0,,
90423101,904231,,,,4.0,8.0,,inapplicable,60.0,,,,13.0,,2,0,,
90423102,904231,,2.0,,5.0,8.0,,inapplicable,59.0,,,,13.0,,2,0,,
90426101,904261,,,,,,,inapplicable,46.0,,,,9.0,,5,3,,
90426102,904261,,,,8.0,,,inapplicable,44.0,,,,12.0,,5,3,,
90428101,904281,,2.0,,,,,inapplicable,36.0,,,,16.0,,3,1,,
90428102,904281,,2.0,,8.0,3.0,,inapplicable,35.0,,,,18.0,,3,1,,
90430101,904301,,,,7.0,3.0,,inapplicable,50.0,,,,16.0,,4,2,,
90430102,904301,,2.0,,7.0,1.0,,inapplicable,34.0,,,,16.0,,4,2,,
90431101,904311,,7.0,,9.0,,,inapplicable,61.0,,,,16.0,,2,0,,
90431102,904311,,3.0,,7.0,2.0,,inapplicable,60.0,,,,16.0,,2,0,,
90433101,904331,,2.0,,8.0,1.0,,inapplicable,55.0,,,,10.0,,3,0,,
90433102,904331,,,,,1.0,,inapplicable,54.0,,,,16.0,,3,0,,
90433103,904331,,2.0,,9.0,,,inapplicable,20.0,,,,12.0,,3,0,,
90434101,904341,,3.0,,,,,inapplicable,52.0,,,,16.0,,5,0,,
90434102,904341,,3.0,,,,,inapplicable,52.0,,,,12.0,,5,0,,
90434103,904341,,5.0,,,,,inapplicable,25.0,,,,18.0,,5,0,,
90434104,904341,,2.0,,,,,inapplicable,24.0,,,,14.0,,5,0,,
90434105,904341,,3.0,,7.0,1.0,,inapplicable,21.0,,,,12.0,,5,0,,
90441101,904411,,3.0,,7.0,,,inapplicable,48.0,,,,12.0,,2,0,,
90441102,904411,,3.0,,8.0,,,inapplicable,39.0,,,,18.0,,2,0,,
90443102,904431,,6.0,,,,,inapplicable,54.0,,,,12.0,,2,0,,
90448101,904481,,5.0,,6.0,5.0,,inapplicable,55.0,,,,12.0,,4,0,,
90448102,904481,,3.0,,8.0,,,inapplicable,53.0,,,,10.0,,4,0,,
90448103,904481,,5.0,,9.0,,,inapplicable,23.0,,,,12.0,,4,0,,
90448104,904481,,,,8.0,3.0,,inapplicable,20.0,,,,10.0,,4,0,,
90449101,904491,,2.0,,6.0,2.0,,inapplicable,64.0,,,,10.0,,1,0,,
90452101,904521,,,,9.0,,,inapplicable,55.0,,,,12.0,,2,0,,
90452102,904521,,6.0,,8.0,,,inapplicable,53.0,,,,16.0,,2,0,,
90456101,904561,,,,8.0,2.0,,inapplicable,56.0,,,,16.0,,2,0,,
90456102,904561,,3.0,,7.0,4.0,,inapplicable,53.0,,,,10.0,,2,0,,
90461101,904611,,1.0,,9.0,9.0,,inapplicable,39.0,,,,16.0,,4,2,,
90461102,904611,,1.0,,9.0,1.0,,inapplicable,37.0,,,,18.0,,4,2,,
90467101,904671,,1.0,,7.0,,,inapplicable,50.0,,,,13.0,,1,0,,
90471101,904711,,,,,,,inapplicable,52.0,,,,12.0,,4,1,,
90471102,904711,,,,,,,inapplicable,38.0,,,,12.0,,4,1,,
90471103,904711,,,,,,,inapplicable,19.0,,,,9.0,,4,1,,
90472101,904721,,3.0,,9.0,1.0,,inapplicable,46.0,,,,12.0,,4,1,,
90472102,904721,,,,8.0,4.0,,inapplicable,45.0,,,,12.0,,4,1,,
90472103,904721,,7.0,,,,,inapplicable,18.0,,,,13.0,,4,1,,
90476101,904761,,,,5.0,4.0,,inapplicable,50.0,,,,16.0,,1,0,,
90478101,904781,,,,,,,42000,64.0,,,,12.0,,4,0,,
90478102,904781,,7.0,,8.0,4.0,,inapplicable,60.0,,,,12.0,,4,0,,
90478103,904781,,,,,,,54000,32.0,,,,12.0,,4,0,,
90478104,904781,,,,,,,does not know,28.0,,,,12.0,,4,0,,
90481101,904811,,,,,,,inapplicable,58.0,,,,18.0,,2,0,,
90481102,904811,,,,,,,inapplicable,55.0,,,,,,2,0,,
90484101,904841,,4.0,,8.0,,,inapplicable,53.0,,,,12.0,,6,1,,
90484102,904841,,1.0,,5.0,6.0,,inapplicable,50.0,,,,16.0,,6,1,,
90484103,904841,,2.0,,7.0,,,inapplicable,23.0,,,,13.0,,6,1,,
90484104,904841,,2.0,,,,,inapplicable,20.0,,,,13.0,,6,1,,
90484105,904841,,6.0,,,2.0,,inapplicable,19.0,,,,13.0,,6,1,,
90486101,904861,,,,,,,inapplicable,52.0,,,,9.0,,3,1,,
90486102,904861,,,,,,,inapplicable,50.0,,,,12.0,,3,1,,
90494101,904941,,5.0,,9.0,2.0,,inapplicable,50.0,,,,10.0,,5,1,,
90494102,904941,,,,,,,inapplicable,46.0,,,,12.0,,5,1,,
90494103,904941,,,,,,,inapplicable,20.0,,,,12.0,,5,1,,
90494104,904941,,,,,,,inapplicable,19.0,,,,9.0,,5,1,,
90497101,904971,,,,,,,inapplicable,28.0,,,,12.0,,2,0,,
90497102,904971,,,,,,,inapplicable,27.0,,,,18.0,,2,0,,
90499101,904991,,3.0,,8.0,,,inapplicable,48.0,,,,18.0,,2,0,,
90499102,904991,,,,,,,inapplicable,34.0,,,,18.0,,2,0,,
90501101,905011,,,,7.0,5.0,,inapplicable,54.0,,,,18.0,,5,1,,
90501102,905011,,2.0,,,,,inapplicable,53.0,,,,18.0,,5,1,,
90501103,905011,,,,8.0,,,inapplicable,20.0,,,,13.0,,5,1,,
90501104,905011,,2.0,,6.0,5.0,,inapplicable,18.0,,,,9.0,,5,1,,
90509101,905091,,,,,,,inapplicable,64.0,,,,12.0,,2,0,,
90509102,905091,,,,,,,inapplicable,36.0,,,,12.0,,2,0,,
90515101,905151,,5.0,,9.0,,,inapplicable,54.0,,,,16.0,,4,2,,
90515102,905151,,3.0,,4.0,2.0,,inapplicable,49.0,,,,16.0,,4,2,,
90517101,905171,,2.0,,9.0,,,inapplicable,47.0,,,,12.0,,4,2,,
90517102,905171,,4.0,,8.0,,,inapplicable,45.0,,,,12.0,,4,2,,
90519101,905191,,2.0,,5.0,5.0,,inapplicable,55.0,,,,10.0,,1,0,,
90522101,905221,,5.0,,3.0,,,inapplicable,51.0,,,,16.0,,1,0,,
90524101,905241,,2.0,,7.0,5.0,,inapplicable,44.0,,,,10.0,,3,2,,
90531102,905311,,7.0,,8.0,6.0,,inapplicable,61.0,,,,12.0,,2,0,,
90534101,905341,,,,,,,54000,57.0,,,,13.0,,3,0,,
90534102,905341,,,,,,,54000,52.0,,,,13.0,,3,0,,
90534103,905341,,,,6.0,3.0,,inapplicable,29.0,,,,12.0,,3,0,,
90536101,905361,,,,,,,inapplicable,62.0,,,,12.0,,2,0,,
90536102,905361,,,,,,,inapplicable,58.0,,,,12.0,,2,0,,
90538102,905381,,3.0,,4.0,,,inapplicable,60.0,,,,12.0,,2,0,,
90542101,905421,,,,,,,inapplicable,46.0,,,,9.0,,1,0,,
90547102,905471,,2.0,,7.0,2.0,,inapplicable,64.0,,,,12.0,,2,0,,
90552101,905521,,2.0,,7.0,1.0,,inapplicable,55.0,,,,16.0,,3,0,,
90552102,905521,,,,7.0,1.0,,inapplicable,54.0,,,,16.0,,3,0,,
90552103,905521,,3.0,,8.0,3.0,,inapplicable,24.0,,,,13.0,,3,0,,
90558101,905581,,3.0,,6.0,,,inapplicable,57.0,,,,18.0,,4,0,,
90558102,905581,,5.0,,7.0,7.0,,inapplicable,50.0,,,,9.0,,4,0,,
90558103,905581,,5.0,,8.0,5.0,,inapplicable,21.0,,,,12.0,,4,0,,
90558104,905581,,,,,,,inapplicable,19.0,,,,10.0,,4,0,,
90559101,905591,,,,,,,inapplicable,58.0,,,,13.0,,5,0,,
90559102,905591,,,,,,,12600,52.0,,,,9.0,,5,0,,
90559103,905591,,2.0,,4.0,4.0,,inapplicable,18.0,,,,9.0,,5,0,,
90559104,905591,,,,,4.0,,inapplicable,26.0,,,,12.0,,5,0,,
90559105,905591,,,,8.0,3.0,,inapplicable,24.0,,,,12.0,,5,0,,
90560101,905601,,,,9.0,1.0,,inapplicable,64.0,,,,16.0,,2,0,,
90560102,905601,,6.0,,7.0,3.0,,inapplicable,61.0,,,,16.0,,2,0,,
90567101,905671,,7.0,,,,,inapplicable,60.0,,,,16.0,,3,0,,
90567102,905671,,4.0,,9.0,1.0,,inapplicable,54.0,,,,12.0,,3,0,,
90567103,905671,,,,,,,inapplicable,33.0,,,,18.0,,3,0,,
90570101,905701,,3.0,,9.0,,,inapplicable,55.0,,,,18.0,,2,0,,
90570102,905701,,,,,,,inapplicable,51.0,,,,12.0,,2,0,,
90573101,905731,,,,,,,inapplicable,51.0,,,,18.0,,5,3,,
90573102,905731,,,,,,,inapplicable,46.0,,,,18.0,,5,3,,
90576101,905761,,,,,,,inapplicable,46.0,,,,18.0,,4,1,,
90576102,905761,,,,,,,inapplicable,42.0,,,,18.0,,4,1,,
90576103,905761,,,,,,,inapplicable,22.0,,,,14.0,,4,1,,
90578102,905781,,,,,,,inapplicable,64.0,,,,12.0,,2,0,,
90579101,905791,,,,,,,inapplicable,50.0,,,,18.0,,6,2,,
90579102,905791,,,,,,,inapplicable,48.0,,,,18.0,,6,2,,
